customer_id;first_name;last_name;email;join_date
1;Sylvia;Carr;williamsmichael@example.com;23/09/2021
2;Stephen;Medina;ashley38@example.net;24/05/2023
3;Elizabeth;Johnson;tcole@example.net;03/12/2022
4;Brett;Santiago;tbernard@example.com;10/07/2021
5;Stephanie;Perez;rmitchell@example.net;11/12/2021
6;Donna;Benitez;vlee@example.net;25/04/2021
7;Robin;Flores;wcampbell@example.org;03/01/2021
8;Justin;David;tjones@example.com;26/12/2019
9;Jennifer;Stephens;zimmermanelizabeth@example.com;17/03/2023
10;Stephanie;Chavez;perrytommy@example.net;01/04/2023
11;Benjamin;Clements;orich@example.org;17/01/2023
12;Cody;Boyle;rogerthornton@example.org;19/01/2022
13;Ashley;Jordan;gonzalezlynn@example.org;06/08/2024
14;Taylor;Lawson;tara29@example.net;28/05/2020
15;Jennifer;Mcdonald;njohns@example.net;12/04/2023
16;Abigail;Miller;jacoblowe@example.com;27/03/2021
17;Kenneth;Bell;perezmaria@example.com;02/11/2021
18;George;Beard;laurahayes@example.net;25/03/2021
19;Edward;Oneill;uwebster@example.com;10/10/2021
20;Jason;Arnold;freemanrobert@example.net;15/07/2022
21;Linda;Taylor;arieljames@example.net;02/11/2023
22;Scott;Johnson;matthew63@example.net;20/09/2023
23;Sarah;Barrett;onoble@example.com;25/02/2022
24;Paul;Riddle;rmartin@example.org;17/12/2023
25;Christopher;Parsons;alvaradojamie@example.org;03/02/2021
26;Nicholas;Brooks;jodiwise@example.org;28/08/2021
27;Mackenzie;Parker;elizabeth94@example.com;25/11/2019
28;Yvette;Washington;chandlerthomas@example.org;13/05/2024
29;Stephanie;Oconnell;anthonykim@example.com;14/08/2023
30;Jeffrey;Andrews;kowens@example.org;08/05/2024
31;Stephen;Ortiz;megan62@example.net;11/05/2023
32;Deborah;Henderson;mmoore@example.net;06/08/2020
33;Miranda;Mason;johnsonlaura@example.org;04/03/2022
34;Rodney;Berry;taradiaz@example.net;22/01/2021
35;Robert;Rodriguez;conleydonald@example.org;18/04/2022
36;Paul;Garcia;lisahenry@example.net;20/06/2021
37;David;Perez;morenojaime@example.com;27/02/2020
38;Glenn;Fischer;kelsey22@example.net;15/05/2023
39;Kelly;Brown;lpearson@example.org;05/02/2021
40;Amy;Harper;blackbrian@example.net;21/10/2021
41;Michele;Johns;ballen@example.org;13/09/2022
42;Lori;Diaz;garrett79@example.net;16/03/2023
43;Robert;Strickland;vasquezheather@example.org;18/07/2023
44;Jane;Vasquez;marymartin@example.org;27/12/2022
45;Michael;Mitchell;yhernandez@example.com;30/07/2020
46;Emily;Hill;hortonalison@example.org;01/11/2020
47;William;Brown;jerome07@example.com;22/12/2023
48;Nicholas;Johnson;wtaylor@example.net;26/09/2022
49;Kimberly;Massey;lewismary@example.org;04/03/2023
50;Jennifer;Ortiz;nancywilliams@example.com;11/08/2024
51;William;Mcdaniel;cameronrichard@example.com;11/04/2020
52;Roger;Wilson;george90@example.com;23/07/2024
53;Chelsea;Allen;wcollier@example.net;22/09/2019
54;Matthew;Griffin;kevinwright@example.org;29/06/2023
55;Matthew;Hernandez;morrismelissa@example.org;04/01/2022
56;Tammy;Holmes;hwalton@example.org;14/09/2019
57;Kerri;Knapp;erinperry@example.org;06/10/2020
58;Brittany;Gonzales;eringarcia@example.org;21/08/2022
59;Richard;Doyle;reneewest@example.com;17/12/2023
60;Keith;Baker;amy65@example.com;31/01/2024
61;John;Flowers;jeremy68@example.org;27/08/2023
62;Erin;Evans;cclark@example.com;30/08/2020
63;Steve;Hernandez;elizabeth76@example.com;18/09/2020
64;Alexandra;Fletcher;bchapman@example.com;01/10/2020
65;Christine;Shaw;laura89@example.net;30/08/2023
66;Ryan;Stafford;hughesshannon@example.net;27/09/2020
67;Stephanie;Turner;wburke@example.org;10/06/2021
68;Amy;Coffey;kristin84@example.org;12/10/2019
69;Phillip;Moody;carlostorres@example.com;28/11/2019
70;Eric;Ramirez;harriselizabeth@example.org;20/08/2022
71;Samantha;Hopkins;millerstephanie@example.org;30/06/2020
72;Linda;Taylor;imartinez@example.com;06/12/2023
73;Kelsey;Burke;combsjoel@example.org;15/09/2022
74;Christian;Eaton;christopher58@example.net;10/06/2022
75;Guy;Baldwin;ricejoseph@example.net;03/05/2020
